Sample	Unique Reads	Duplicate Reads
Control_1_f1	8946145.0	12738238.0
Control_1_r2	9044847.0	12639536.0
Control_2_f1	8628088.0	13355360.0
Control_2_r2	8652496.0	13330952.0
Control_3_f1	9896552.0	13025185.0
Control_3_r2	10143449.0	12778288.0
Heat_treated_42_12h_1_f1	8616807.0	13637268.0
Heat_treated_42_12h_1_r2	8704684.0	13549391.0
Heat_treated_42_12h_2_f1	6308277.0	15320952.0
Heat_treated_42_12h_2_r2	6374598.0	15254631.0
Heat_treated_42_12h_3_f1	7889021.0	14340492.0
Heat_treated_42_12h_3_r2	7850696.0	14378817.0
