Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Control_1_f1	(1.0, 24.78624035624962)	(2.0, 15.870133149429835)	(3.0, 10.40313873009734)	(4.0, 6.747285983924891)	(5.0, 4.640794838356157)	(6.0, 3.426905296342739)	(7.0, 2.525603606940435)	(8.0, 2.0376038737341218)	(9.0, 1.7210941854052795)	('>10', 17.619588817747132)	('>50', 4.355186505513913)	('>100', 4.932023775116158)	('>500', 0.5799843755360479)	('>1k', 0.31458835047524225)	('>5k', 0.03982815513096646)	('>10k+', 0.0)
Control_1_r2	(1.0, 25.307446360659387)	(2.0, 15.883113820809339)	(3.0, 10.279966818824317)	(4.0, 6.703128835215294)	(5.0, 4.62547415379577)	(6.0, 3.3660244315373933)	(7.0, 2.5926186912536404)	(8.0, 2.0392818521350518)	(9.0, 1.6835254549839713)	('>10', 17.419647974579515)	('>50', 4.292518213607813)	('>100', 4.933858261250703)	('>500', 0.602066825083531)	('>1k', 0.2713283062640867)	('>5k', 0.0)	('>10k+', 0.0)
Control_2_f1	(1.0, 21.163131115874393)	(2.0, 15.899362289508606)	(3.0, 11.687630502331675)	(4.0, 8.37977734245004)	(5.0, 6.120191508541906)	(6.0, 4.449033129170365)	(7.0, 3.3662711453890557)	(8.0, 2.6678336683864585)	(9.0, 2.1918605637512227)	('>10', 17.96265602310303)	('>50', 2.9281101867443935)	('>100', 2.6406630276996323)	('>500', 0.2915961990464505)	('>1k', 0.2518832980028276)	('>5k', 0.0)	('>10k+', 0.0)
Control_2_r2	(1.0, 21.113682000167955)	(2.0, 16.057614777825783)	(3.0, 12.03830572575972)	(4.0, 8.357563014211449)	(5.0, 6.048732463564509)	(6.0, 4.463418231516625)	(7.0, 3.3628507260695106)	(8.0, 2.6899335046244848)	(9.0, 2.1971508463521605)	('>10', 17.565421211233726)	('>50', 2.920690094091429)	('>100', 2.63248727340087)	('>500', 0.2818780661080732)	('>1k', 0.2215618086178922)	('>5k', 0.04871025645572864)	('>10k+', 0.0)
Control_3_f1	(1.0, 26.11422171805195)	(2.0, 16.349702359717664)	(3.0, 10.610438113283456)	(4.0, 7.047439659898128)	(5.0, 5.013130921635898)	(6.0, 3.607151603322366)	(7.0, 2.81183260165243)	(8.0, 2.297040526484032)	(9.0, 1.8901720973903982)	('>10', 17.456384717743095)	('>50', 3.2357096065200612)	('>100', 3.076352625141618)	('>500', 0.2915740940039489)	('>1k', 0.19884935515517074)	('>5k', 0.0)	('>10k+', 0.0)
Control_3_r2	(1.0, 27.353185456323953)	(2.0, 16.232622771597676)	(3.0, 10.534424848007385)	(4.0, 6.878959642909618)	(5.0, 4.935580656461287)	(6.0, 3.7085205027230996)	(7.0, 2.821516741357662)	(8.0, 2.2880785404362998)	(9.0, 1.9111359200237488)	('>10', 16.924615108076352)	('>50', 3.1086509122671138)	('>100', 2.8544733238179165)	('>500', 0.25742431362152135)	('>1k', 0.19081126237639373)	('>5k', 0.0)	('>10k+', 0.0)
Heat_treated_42_12h_1_f1	(1.0, 21.864546042961972)	(2.0, 15.520418508400303)	(3.0, 10.989064486784644)	(4.0, 7.424174435848382)	(5.0, 5.104398659615732)	(6.0, 3.5960184598310865)	(7.0, 2.8349384667055677)	(8.0, 2.2511447315758235)	(9.0, 1.7796743977580305)	('>10', 17.212921786135794)	('>50', 3.971469181320701)	('>100', 5.528547005014853)	('>500', 1.148590757785481)	('>1k', 0.7740930802614022)	('>5k', 0.0)	('>10k+', 0.0)
Heat_treated_42_12h_1_r2	(1.0, 22.20585601231427)	(2.0, 15.616514933661657)	(3.0, 11.168058272612635)	(4.0, 7.2819448692104505)	(5.0, 5.07914358431329)	(6.0, 3.6906858444397663)	(7.0, 2.7233380773261753)	(8.0, 2.2142756938575556)	(9.0, 1.7766631913708526)	('>10', 17.074552772479773)	('>50', 3.878892717457512)	('>100', 5.507029654757837)	('>500', 1.0549393332520864)	('>1k', 0.7281050429460635)	('>5k', 0.0)	('>10k+', 0.0)
Heat_treated_42_12h_2_f1	(1.0, 14.511807517671837)	(2.0, 11.512507455296525)	(3.0, 9.571583791384057)	(4.0, 7.134683147727734)	(5.0, 5.335930741493511)	(6.0, 3.8956305976672696)	(7.0, 2.972382188180914)	(8.0, 2.387846491676059)	(9.0, 1.912476217290928)	('>10', 20.422183933747913)	('>50', 5.6358665264778205)	('>100', 9.321052534950587)	('>500', 2.4740024103901583)	('>1k', 2.7017193887627142)	('>5k', 0.15286306764482982)	('>10k+', 0.05746398963704474)
Heat_treated_42_12h_2_r2	(1.0, 14.73469408495329)	(2.0, 11.701160452605667)	(3.0, 9.589419842415241)	(4.0, 7.2802269672770645)	(5.0, 5.246032702840759)	(6.0, 3.8457866741103146)	(7.0, 2.9204731930716776)	(8.0, 2.2873679669599247)	(9.0, 1.9563739260578188)	('>10', 20.317948343867425)	('>50', 5.585977915212832)	('>100', 9.340033862164216)	('>500', 2.3768992169617356)	('>1k', 2.6137555373388475)	('>5k', 0.14619608044838803)	('>10k+', 0.05765323371488659)
