Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Control_1_f1	58.74383440834527	51.0	150.0	150	18.181818181818183	21.684383
Control_1_r2	58.28866025424887	51.0	150.0	150	18.181818181818183	21.684383
Control_2_f1	60.751890157690205	51.0	150.0	150	18.181818181818183	21.983448
Control_2_r2	60.6408620841092	51.0	150.0	150	18.181818181818183	21.983448
Control_3_f1	56.82460277514841	52.0	150.0	150	18.181818181818183	22.921737
Control_3_r2	55.74747075726235	52.0	150.0	150	18.181818181818183	22.921737
Heat_treated_42_12h_1_f1	61.27987330496792	52.0	150.0	150	18.181818181818183	22.254075
Heat_treated_42_12h_1_r2	60.884991299825934	52.0	150.0	150	18.181818181818183	22.254075
Heat_treated_42_12h_2_f1	70.8344823732915	52.0	150.0	150	18.181818181818183	21.629229
Heat_treated_42_12h_2_r2	70.52785379489154	52.0	150.0	150	18.181818181818183	21.629229
Heat_treated_42_12h_3_f1	64.511053332712	51.0	150.0	150	18.181818181818183	22.229513
Heat_treated_42_12h_3_r2	64.68345497203833	51.0	150.0	150	18.181818181818183	22.229513
