Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Control_1_f1	(1, 0.013415184559320871)	(2, 0.009310848272694685)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 5.533936566237554e-05)	(10, 0.0)	(15, 2.3980391787029405e-05)	(20, 0.005186220885325628)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.04179321127098705)	(60, 0.001631588964279039)	(65, 0.0019479456713156194)	(70, 0.00026470663241836304)	(75, 5.99509794675735e-05)	(80, 0.0)	(85, 0.00022504675369366056)	(90, 7.009652983900903e-05)	(95, 0.0)	(100, 9.223227610395924e-06)	(105, 9.223227610395924e-07)	(110, 0.0005782963711718245)	(115, 2.7669682831187775e-06)	(120, 0.0007267903356991989)	(125, 9.223227610395924e-07)	(130, 0.00017800829288064132)	(135, 7.194117536108821e-05)	(140, 0.00029791025181578835)	(145, 0.0)	(150, 0.0)
Control_1_r2	(1, 0.06198931276947101)	(2, 7.378582088316739e-05)	(3, 0.0)	(4, 0.0012866402516502314)	(5, 0.0009130995334291965)	(6, 0.002190516557469032)	(7, 2.305806902598981e-05)	(8, 0.0009914969681175617)	(9, 0.0)	(10, 2.1213423503910626e-05)	(15, 9.223227610395924e-07)	(20, 1.0145550371435516e-05)	(25, 8.300904849356331e-05)	(30, 0.0008079547386706828)	(35, 2.4902714548068995e-05)	(40, 3.781523320262329e-05)	(45, 3.0436651114306553e-05)	(50, 0.0001715520335533642)	(55, 1.2912518654554293e-05)	(60, 0.00018077526116376012)	(65, 6.640723879485065e-05)	(70, 9.223227610395924e-06)	(75, 4.611613805197962e-06)	(80, 0.00026931824622356096)	(85, 6.4562593272771465e-06)	(90, 7.101885260004862e-05)	(95, 0.000663150065187467)	(100, 0.0016149871545803264)	(105, 0.001240524113598252)	(110, 0.0012562036005359248)	(115, 0.0061574267527003184)	(120, 0.0029652676767422895)	(125, 0.0015273664922815652)	(130, 0.004392100988070539)	(135, 0.0011529034512994904)	(140, 0.00040489969209638103)	(145, 0.0005312579103588052)	(150, 0.0)
Control_2_f1	(1, 0.013714864019511407)	(2, 0.00998478491636071)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 3.6391015640494614e-05)	(10, 0.0)	(15, 3.1842138685432785e-05)	(20, 0.004978290939619663)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.04233730759615143)	(60, 0.001618490420610998)	(65, 0.0019478291121574742)	(70, 0.0002592859864385241)	(75, 5.4586523460741925e-05)	(80, 3.639101564049461e-06)	(85, 0.0002974965528610434)	(90, 6.004517580681611e-05)	(95, 0.0)	(100, 9.097753910123654e-06)	(105, 0.0)	(110, 0.000553143437735518)	(115, 9.097753910123652e-07)	(120, 0.0006914292971693976)	(125, 9.097753910123652e-07)	(130, 0.00015102271490805266)	(135, 0.00010462416996642202)	(140, 0.00031751161146331545)	(145, 0.0)	(150, 0.0)
Control_2_r2	(1, 0.062437885085178634)	(2, 0.00012736855474173114)	(3, 0.0)	(4, 0.0013692119634736099)	(5, 0.001078083838349653)	(6, 0.002278987354485975)	(7, 4.093989259555644e-05)	(8, 0.0012145501470015075)	(9, 0.0)	(10, 1.8195507820247307e-05)	(15, 3.639101564049461e-06)	(20, 1.728573242923494e-05)	(25, 0.00011372192387654566)	(30, 0.0007796775100975971)	(35, 2.9112812512395688e-05)	(40, 3.1842138685432785e-05)	(45, 2.9112812512395688e-05)	(50, 0.0002174363184519553)	(55, 8.187978519111287e-06)	(60, 0.00019287238289462144)	(65, 4.9127871114667724e-05)	(70, 1.728573242923494e-05)	(75, 5.458652346074192e-06)	(80, 0.0002601957618295365)	(85, 4.548876955061827e-06)	(90, 8.187978519111289e-05)	(95, 0.0006231961428434702)	(100, 0.0014974902936063534)	(105, 0.0012145501470015075)	(110, 0.0012463922856869405)	(115, 0.006471232356270954)	(120, 0.003108702511089252)	(125, 0.0015984753620087258)	(130, 0.004475185148389824)	(135, 0.0011535951958036791)	(140, 0.000428504209166824)	(145, 0.0005049253420118627)	(150, 0.0)
Control_3_f1	(1, 0.013035661302631646)	(2, 0.009174697362595165)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 6.107739566159406e-05)	(10, 0.0)	(15, 2.0068287145952332e-05)	(20, 0.005211646918381448)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.04134154405488555)	(60, 0.0016604326277716212)	(65, 0.0019745449483169622)	(70, 0.00026525040401606563)	(75, 5.060698497674936e-05)	(80, 2.617602671211174e-06)	(85, 0.00022162369282921273)	(90, 6.456753255654229e-05)	(95, 0.0)	(100, 6.980273789896464e-06)	(105, 8.72534223737058e-07)	(110, 0.0006133915592871518)	(115, 4.36267111868529e-06)	(120, 0.0007180956661355987)	(125, 0.0)	(130, 0.00016141883139135572)	(135, 9.597876461107637e-05)	(140, 0.00031847499166402614)	(145, 0.0)	(150, 0.0)
Control_3_r2	(1, 0.06234257028601279)	(2, 9.161609349239109e-05)	(3, 0.0)	(4, 0.0013480653756737545)	(5, 0.0008943475793304844)	(6, 0.0024125571286329655)	(7, 1.745068447474116e-05)	(8, 0.001147382504214231)	(9, 0.0)	(10, 1.832321869847822e-05)	(15, 1.745068447474116e-06)	(20, 1.1342944908581753e-05)	(25, 0.00010644917529592107)	(30, 0.0008236723072077828)	(35, 3.053869783079703e-05)	(40, 3.664643739695644e-05)	(45, 2.6176026712111738e-05)	(50, 0.00017101670785246335)	(55, 1.6578150251004102e-05)	(60, 0.0001910849949984157)	(65, 5.933232721411995e-05)	(70, 1.832321869847822e-05)	(75, 4.36267111868529e-06)	(80, 0.00026699547246353977)	(85, 8.72534223737058e-06)	(90, 6.544006678027936e-05)	(95, 0.000677086557619957)	(100, 0.0016377467379544578)	(105, 0.0012677922270899452)	(110, 0.0012337633923641999)	(115, 0.0062674133291032875)	(120, 0.003064340193764548)	(125, 0.0015478757129095409)	(130, 0.0044019351587534575)	(135, 0.0012006070918621917)	(140, 0.00041445375627510256)	(145, 0.0005366085475982907)	(150, 0.0)
Heat_treated_42_12h_1_f1	(1, 0.013112205292738523)	(2, 0.009288186545610186)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 7.639050376167061e-05)	(10, 0.0)	(15, 2.2467795224020768e-05)	(20, 0.005227806592725153)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.04079073158511419)	(60, 0.0015709482420635322)	(65, 0.0019286355420299428)	(70, 0.00027230967811513174)	(75, 6.920080928998396e-05)	(80, 8.987118089608308e-07)	(85, 0.0002471457474642284)	(90, 7.279565652582728e-05)	(95, 2.696135426882492e-06)	(100, 1.0784541707529969e-05)	(105, 8.987118089608308e-07)	(110, 0.0005634923042184409)	(115, 8.987118089608308e-07)	(120, 0.0007773857147511187)	(125, 8.987118089608308e-07)	(130, 0.00019052690349969612)	(135, 9.07698927050439e-05)	(140, 0.000350497605494724)	(145, 0.0)	(150, 0.0)
Heat_treated_42_12h_1_r2	(1, 0.06217737650295507)	(2, 0.00010784541707529969)	(3, 0.0)	(4, 0.0014109775400685043)	(5, 0.0009795958717673055)	(6, 0.002538860860314347)	(7, 4.942914949284569e-05)	(8, 0.0012761707687243796)	(9, 0.0)	(10, 1.977165979713828e-05)	(15, 3.594847235843323e-06)	(20, 1.5278100752334124e-05)	(25, 0.00010155443441257389)	(30, 0.0009032053680056349)	(35, 3.7745895976354895e-05)	(40, 2.9657489695707416e-05)	(45, 2.8758777886746585e-05)	(50, 0.0001815397854100878)	(55, 1.3480677134412462e-05)	(60, 0.0002049062924430694)	(65, 6.560596205414064e-05)	(70, 2.426521884194243e-05)	(75, 4.493559044804154e-06)	(80, 0.00028668906705850504)	(85, 5.392270853764984e-06)	(90, 8.987118089608307e-05)	(95, 0.0006965016519446439)	(100, 0.0015053422800093915)	(105, 0.0012312351782763381)	(110, 0.0013264986300261863)	(115, 0.006283792968254129)	(120, 0.0030124819836367047)	(125, 0.0015502778704574332)	(130, 0.004440535048075464)	(135, 0.0011539459627057068)	(140, 0.0004053190258413347)	(145, 0.0005113670192987127)	(150, 0.0)
Heat_treated_42_12h_2_f1	(1, 0.01315349705715354)	(2, 0.00933921407924434)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 8.784409282457548e-05)	(10, 0.0)	(15, 2.9589589161962266e-05)	(20, 0.005230884559038142)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.04123864054516229)	(60, 0.0015839676948262926)	(65, 0.0019806531245288492)	(70, 0.0002644569531350378)	(75, 5.6405154339990576e-05)	(80, 2.7740239839339626e-06)	(85, 0.00025890890516716986)	(90, 7.397397290490568e-05)	(95, 1.8493493226226416e-06)	(100, 1.2020770597047171e-05)	(105, 0.0)	(110, 0.0005890177592553115)	(115, 1.8493493226226416e-06)	(120, 0.000720321561161519)	(125, 1.8493493226226416e-06)	(130, 0.00017938688429439625)	(135, 9.061811680850944e-05)	(140, 0.00034582832333043405)	(145, 0.0)	(150, 0.0)
Heat_treated_42_12h_2_r2	(1, 0.06185611146842081)	(2, 5.085710637212265e-05)	(3, 0.0)	(4, 0.0013361548855948587)	(5, 0.0009385447812309907)	(6, 0.0024272709859422172)	(7, 1.3870119919669812e-05)	(8, 0.0011419732067194813)	(9, 0.0)	(10, 2.311686653278302e-05)	(15, 4.623373306556605e-06)	(20, 2.0342842548849058e-05)	(25, 9.986486342162267e-05)	(30, 0.0008525500377290379)	(35, 3.3288287807207554e-05)	(40, 3.3288287807207554e-05)	(45, 3.698698645245284e-05)	(50, 0.0001951063535366887)	(55, 1.3870119919669812e-05)	(60, 0.0001904829802301321)	(65, 7.4898647566217e-05)	(70, 1.2945445258358494e-05)	(75, 3.6986986452452833e-06)	(80, 0.0002727790250868397)	(85, 9.246746613113208e-07)	(90, 7.859734621146228e-05)	(95, 0.0006620670574989057)	(100, 0.0015821183455036701)	(105, 0.001221495227592255)	(110, 0.0013047159471102738)	(115, 0.006326624032692059)	(120, 0.0030394056117303116)	(125, 0.0015284872151476135)	(130, 0.004440287723616963)	(135, 0.0011826588918171794)	(140, 0.00040130880300911327)	(145, 0.000550181423480236)	(150, 0.0)
