Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
Control_1_f1	(1, 36.35148613635906)	(2, 36.36969905945675)	(3, 36.45952882311662)	(4, 36.46650425792608)	(5, 36.48824054620323)	(6, 36.46785057246037)	(7, 36.43070642129868)	(8, 36.48816832833104)	(9, 36.472499540337395)	(10, 36.47022905839654)	(15, 36.4445296783404)	(20, 36.3999570750987)	(25, 36.334182595834065)	(30, 36.28914590744869)	(35, 36.256982871036726)	(40, 36.22568993547107)	(45, 36.19464228242049)	(50, 36.162351006251825)	(55, 36.10193330379748)	(60, 36.089666964469316)	(65, 36.05617060905077)	(70, 36.01839607795158)	(75, 35.99310025099631)	(80, 35.966376972773446)	(85, 35.92226683138737)	(90, 35.87957732530366)	(95, 35.86168769478016)	(100, 35.79451876495632)	(105, 35.77856318070014)	(110, 35.74833884828543)	(115, 35.68259920515147)	(120, 35.59714654551158)	(125, 35.60811588690349)	(130, 35.49057614413101)	(135, 35.400473797202345)	(140, 35.41756024139585)	(145, 35.33343867796469)	(150, 35.30349085791374)
Control_1_r2	(1, 36.126930381187236)	(2, 36.30951404058857)	(3, 36.296529857455475)	(4, 36.29475341770158)	(5, 36.30874482340586)	(6, 36.25537318723802)	(7, 36.23266910568772)	(8, 36.30184875446998)	(9, 36.27939651314958)	(10, 36.26494409363642)	(15, 36.23942085878117)	(20, 36.20370033124761)	(25, 36.168228526493)	(30, 36.121538260968734)	(35, 36.08359937195354)	(40, 36.050156723389364)	(45, 36.0050988584734)	(50, 35.97303734212774)	(55, 35.930632630866185)	(60, 35.89429414708272)	(65, 35.86021408125839)	(70, 35.78852464467169)	(75, 35.78084849359099)	(80, 35.6993047115982)	(85, 35.68728667078054)	(90, 35.60480701710535)	(95, 35.58848622070547)	(100, 35.44813168075844)	(105, 35.39376593744909)	(110, 35.33561299853447)	(115, 35.278703784193446)	(120, 35.21083633322654)	(125, 35.158923885452495)	(130, 35.04348095124496)	(135, 34.95346824486544)	(140, 34.90546563395417)	(145, 34.75079041907718)	(150, 34.69316083376686)
Control_2_f1	(1, 36.35440468665334)	(2, 36.36801037762593)	(3, 36.45443016946204)	(4, 36.46222139493313)	(5, 36.48696528406281)	(6, 36.46762127578895)	(7, 36.422282892110466)	(8, 36.475529225442706)	(9, 36.4693608573141)	(10, 36.46606581460743)	(15, 36.44135797987649)	(20, 36.39904613689354)	(25, 36.33303094218886)	(30, 36.28724089141976)	(35, 36.257229602926714)	(40, 36.22362355532216)	(45, 36.19253491081108)	(50, 36.15956597891286)	(55, 36.10155300478797)	(60, 36.08869943422888)	(65, 36.05628790351723)	(70, 36.01817359133108)	(75, 35.99203267840422)	(80, 35.964529786228255)	(85, 35.91776934173383)	(90, 35.87650810737242)	(95, 35.85347645191964)	(100, 35.790288566197624)	(105, 35.770517618528274)	(110, 35.74034484490331)	(115, 35.67232538771898)	(120, 35.589620736474096)	(125, 35.5989053855428)	(130, 35.48083909312133)	(135, 35.390762222559445)	(140, 35.40655292108863)	(145, 35.323277440372415)	(150, 35.29122583500095)
Control_2_r2	(1, 36.13774536187408)	(2, 36.35994071539642)	(3, 36.43515175599387)	(4, 36.383187887541574)	(5, 36.37968343273539)	(6, 36.355072006902645)	(7, 36.34905165923016)	(8, 36.41265059966935)	(9, 36.40499288373689)	(10, 36.38090417845281)	(15, 36.35553649272853)	(20, 36.3231867994502)	(25, 36.288969801279585)	(30, 36.25014593707048)	(35, 36.2162006979069)	(40, 36.183663117814824)	(45, 36.14092304355531)	(50, 36.1130725353002)	(55, 36.076499564581496)	(60, 36.04349867227379)	(65, 36.010989377098625)	(70, 35.94832873350896)	(75, 35.93741227490792)	(80, 35.86140017707868)	(85, 35.848202365707145)	(90, 35.771259412991085)	(95, 35.755259784543355)	(100, 35.62446513394987)	(105, 35.572336268632654)	(110, 35.52141824157884)	(115, 35.46157300710971)	(120, 35.400067332476695)	(125, 35.350007669406544)	(130, 35.23996089239504)	(135, 35.155018302861315)	(140, 35.10827308800694)	(145, 34.95893151065293)	(150, 34.89159116440697)
Control_3_f1	(1, 36.337520363312784)	(2, 36.34317992567492)	(3, 36.43792261467794)	(4, 36.443258772230045)	(5, 36.46644174479447)	(6, 36.446687308208794)	(7, 36.40409132170045)	(8, 36.46388644106683)	(9, 36.454792453119936)	(10, 36.45007701641459)	(15, 36.425046007638954)	(20, 36.383177487814294)	(25, 36.317702301531504)	(30, 36.27208350745845)	(35, 36.24201002742505)	(40, 36.209666562355196)	(45, 36.181503932271795)	(50, 36.14716341087065)	(55, 36.09148442807803)	(60, 36.07781497536596)	(65, 36.047518842049364)	(70, 36.009837256225396)	(75, 35.98538083741211)	(80, 35.958360415704966)	(85, 35.91232756051603)	(90, 35.872157480909934)	(95, 35.8509407642187)	(100, 35.79033240805441)	(105, 35.77064298399375)	(110, 35.74231364752156)	(115, 35.67574675514338)	(120, 35.59487550179988)	(125, 35.60308609247197)	(130, 35.49147117428317)	(135, 35.402894161118766)	(140, 35.419328037835875)	(145, 35.334189734399274)	(150, 35.30143082088412)
Control_3_r2	(1, 36.085572005297855)	(2, 36.24459306901567)	(3, 36.27841149211336)	(4, 36.23683309864344)	(5, 36.24864075527958)	(6, 36.19441833749336)	(7, 36.17603539382726)	(8, 36.2511300954199)	(9, 36.21911301922712)	(10, 36.20674644334328)	(15, 36.18018747008571)	(20, 36.143936264516086)	(25, 36.11076468593982)	(30, 36.06274642275147)	(35, 36.027521701344014)	(40, 35.99449435267493)	(45, 35.94815070952084)	(50, 35.91817081750828)	(55, 35.879796212651776)	(60, 35.84309454383846)	(65, 35.81058642283524)	(70, 35.74025444930286)	(75, 35.733443865968795)	(80, 35.649822585434954)	(85, 35.636300329246424)	(90, 35.55340742283187)	(95, 35.539383241331144)	(100, 35.39699414577525)	(105, 35.34297134636873)	(110, 35.28766401080337)	(115, 35.23088401197518)	(120, 35.166175172501106)	(125, 35.11202042846927)	(130, 34.99995194954029)	(135, 34.91259843876579)	(140, 34.86281122586826)	(145, 34.70912953935384)	(150, 34.64735587010705)
Heat_treated_42_12h_1_f1	(1, 36.33718691969898)	(2, 36.35549857722687)	(3, 36.453221039292806)	(4, 36.461056817683954)	(5, 36.48570929144437)	(6, 36.464965315341125)	(7, 36.425290424338016)	(8, 36.48335439689136)	(9, 36.4713887231889)	(10, 36.468584823229)	(15, 36.44399778467539)	(20, 36.40199882493431)	(25, 36.33529727027522)	(30, 36.288428424906456)	(35, 36.256377611740774)	(40, 36.22298370972508)	(45, 36.19195584628883)	(50, 36.15804096103747)	(55, 36.09896306182126)	(60, 36.086167418776114)	(65, 36.05329883178699)	(70, 36.01538945114547)	(75, 35.989430160543634)	(80, 35.960897786135796)	(85, 35.91503673821536)	(90, 35.8717772273168)	(95, 35.848879254698296)	(100, 35.78404196984148)	(105, 35.76462802430566)	(110, 35.733655773156144)	(115, 35.66161514239527)	(120, 35.5802089819505)	(125, 35.58911165707853)	(130, 35.47279004856414)	(135, 35.382992211538784)	(140, 35.39520048350696)	(145, 35.30918544131805)	(150, 35.28167578297458)
Heat_treated_42_12h_1_r2	(1, 36.03089627405318)	(2, 36.26795672253284)	(3, 36.34191495265474)	(4, 36.285922960176954)	(5, 36.274900529453596)	(6, 36.24900805807476)	(7, 36.22510744661371)	(8, 36.30682133496899)	(9, 36.30203866033524)	(10, 36.277207127234)	(15, 36.24866806641031)	(20, 36.21413866898534)	(25, 36.1758798242569)	(30, 36.13360181449914)	(35, 36.09565826483464)	(40, 36.06240998109335)	(45, 36.01607097127156)	(50, 35.984193232026044)	(55, 35.94422040907115)	(60, 35.90802107928548)	(65, 35.87431527933648)	(70, 35.80534827891072)	(75, 35.795988860467126)	(80, 35.71483667597956)	(85, 35.700852154043694)	(90, 35.619372622766846)	(95, 35.599912555340985)	(100, 35.462730830196264)	(105, 35.406236610598285)	(110, 35.34946322415108)	(115, 35.29191644226957)	(120, 35.22763277287418)	(125, 35.17332138046628)	(130, 35.056329180161384)	(135, 34.9711568869971)	(140, 34.920793373797835)	(145, 34.76555918859805)	(150, 34.70961911470147)
Heat_treated_42_12h_2_f1	(1, 36.30054293659751)	(2, 36.32927271702565)	(3, 36.42918353677794)	(4, 36.43843518416676)	(5, 36.463498953198936)	(6, 36.444607110128615)	(7, 36.40805740232349)	(8, 36.462080224866085)	(9, 36.45213484031262)	(10, 36.44602186236042)	(15, 36.41942176487197)	(20, 36.3737271263807)	(25, 36.30505918634455)	(30, 36.25727871298603)	(35, 36.22378607207867)	(40, 36.19142937549923)	(45, 36.158930685878815)	(50, 36.12384085442898)	(55, 36.06227470244086)	(60, 36.051343411270004)	(65, 36.016230527680854)	(70, 35.977753039648334)	(75, 35.95124201607001)	(80, 35.923229256114496)	(85, 35.875704076183204)	(90, 35.83177727694316)	(95, 35.80817732338032)	(100, 35.74167554469926)	(105, 35.72283166450362)	(110, 35.68930628086651)	(115, 35.61879379981598)	(120, 35.53554808634187)	(125, 35.545354954631065)	(130, 35.42980011908885)	(135, 35.33939876451444)	(140, 35.35745577431354)	(145, 35.27194790900776)	(150, 35.24391003488844)
Heat_treated_42_12h_2_r2	(1, 36.1444555420815)	(2, 36.301191410937484)	(3, 36.34773070274488)	(4, 36.32007826076463)	(5, 36.324797152963704)	(6, 36.281533567377735)	(7, 36.25397363909735)	(8, 36.32344786769792)	(9, 36.28466289760028)	(10, 36.28259320755261)	(15, 36.258613342158434)	(20, 36.22303982264)	(25, 36.19392501692964)	(30, 36.1450044567007)	(35, 36.10827922715137)	(40, 36.07750745992841)	(45, 36.034287537479955)	(50, 36.00320475593467)	(55, 35.965795637005826)	(60, 35.93085041542627)	(65, 35.89721240641541)	(70, 35.8299607720645)	(75, 35.82071894472059)	(80, 35.74300600358894)	(85, 35.72727817528771)	(90, 35.64787519703083)	(95, 35.62852272727798)	(100, 35.49555692438228)	(105, 35.44196579545207)	(110, 35.38717617719984)	(115, 35.326216047737994)	(120, 35.26710221617238)	(125, 35.214075046318115)	(130, 35.10141422979062)	(135, 35.019622530234436)	(140, 34.971504467403804)	(145, 34.82300890151932)	(150, 34.76345869748755)
Heat_treated_42_12h_3_f1	(1, 36.35052333355211)	(2, 36.36630842969884)	(3, 36.45564583443641)	(4, 36.462095278470564)	(5, 36.48525062154983)	(6, 36.46455507144938)	(7, 36.42579425829077)	(8, 36.482891595510885)	(9, 36.46945630342869)	(10, 36.46820533585238)	(15, 36.44217040652218)	(20, 36.40164983371431)	(25, 36.336973958898696)	(30, 36.29050886539889)	(35, 36.260594291921734)	(40, 36.226887354662246)	(45, 36.19846897230722)	(50, 36.16273260687267)	(55, 36.10469144330782)	(60, 36.09082923229133)	(65, 36.06003547626077)	(70, 36.020936032201874)	(75, 35.99591684262269)	(80, 35.96909173853696)	(85, 35.921107961294524)	(90, 35.881877583193116)	(95, 35.85591454027805)	(100, 35.794523253838264)	(105, 35.772943176937794)	(110, 35.745170980578834)	(115, 35.673932793759356)	(120, 35.59495233206413)	(125, 35.600559454451385)	(130, 35.485502961760794)	(135, 35.396291272777766)	(140, 35.414774673651195)	(145, 35.331358712176915)	(150, 35.29874653574282)
Heat_treated_42_12h_3_r2	(1, 36.069226932681794)	(2, 36.321597193784676)	(3, 36.37077757843818)	(4, 36.319038118378934)	(5, 36.33843570932031)	(6, 36.332232244584034)	(7, 36.31782788043984)	(8, 36.38342517895016)	(9, 36.353941672046524)	(10, 36.35424363097833)	(15, 36.33699287969107)	(20, 36.30477736511816)	(25, 36.2760234018622)	(30, 36.23198227509528)	(35, 36.19655717154037)	(40, 36.166254474400766)	(45, 36.12425275353536)	(50, 36.096900692336355)	(55, 36.05986024075291)	(60, 36.02546667576568)	(65, 35.99429694208776)	(70, 35.929320583856246)	(75, 35.920639269065404)	(80, 35.84429672390933)	(85, 35.83094606705959)	(90, 35.752304587149524)	(95, 35.73662716767569)	(100, 35.60354068035588)	(105, 35.552785272443884)	(110, 35.499089467232146)	(115, 35.44277243500566)	(120, 35.38090580751815)	(125, 35.33038711194438)	(130, 35.220788957454886)	(135, 35.13853497375314)	(140, 35.088792903380295)	(145, 34.93927414424239)	(150, 34.87865609111635)
