Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Control_1_f1	(0.0, 195.0)	(1.0, 175.5)	(2.0, 144.0)	(3.0, 135.5)	(4.0, 133.5)	(5.0, 113.0)	(6.0, 116.5)	(7.0, 141.0)	(8.0, 156.0)	(9.0, 198.5)	(10.0, 223.0)	(11.0, 283.0)	(12.0, 333.5)	(13.0, 311.0)	(14.0, 369.5)	(15.0, 459.5)	(16.0, 585.5)	(17.0, 682.0)	(18.0, 848.5)	(19.0, 1072.5)	(20.0, 1291.5)	(21.0, 1664.5)	(22.0, 2229.5)	(23.0, 2941.5)	(24.0, 3893.0)	(25.0, 5146.5)	(26.0, 6882.0)	(27.0, 9361.0)	(28.0, 12753.0)	(29.0, 18138.5)	(30.0, 25290.5)	(31.0, 34466.5)	(32.0, 48750.5)	(33.0, 67248.0)	(34.0, 90884.5)	(35.0, 123741.0)	(36.0, 163168.0)	(37.0, 207891.0)	(38.0, 261077.0)	(39.0, 317910.0)	(40.0, 383884.5)	(41.0, 463203.5)	(42.0, 546120.0)	(43.0, 631956.0)	(44.0, 715414.5)	(45.0, 793306.5)	(46.0, 867379.0)	(47.0, 925713.0)	(48.0, 968846.5)	(49.0, 993110.5)	(50.0, 985647.0)	(51.0, 963041.5)	(52.0, 937069.5)	(53.0, 901249.0)	(54.0, 861367.0)	(55.0, 831659.0)	(56.0, 786215.0)	(57.0, 728379.0)	(58.0, 676473.5)	(59.0, 625477.5)	(60.0, 578413.0)	(61.0, 538538.5)	(62.0, 502432.0)	(63.0, 453090.0)	(64.0, 404998.0)	(65.0, 360665.0)	(66.0, 320565.5)	(67.0, 286958.5)	(68.0, 247030.5)	(69.0, 211604.5)	(70.0, 179715.5)	(71.0, 145220.0)	(72.0, 116643.5)	(73.0, 91756.5)	(74.0, 68775.5)	(75.0, 50699.5)	(76.0, 37324.5)	(77.0, 27406.5)	(78.0, 20423.0)	(79.0, 14630.5)	(80.0, 9240.5)	(81.0, 5929.5)	(82.0, 3934.0)	(83.0, 2411.0)	(84.0, 1681.0)	(85.0, 1232.0)	(86.0, 1283.5)	(87.0, 1345.0)	(88.0, 847.0)	(89.0, 522.0)	(90.0, 497.0)	(91.0, 545.0)	(92.0, 477.5)	(93.0, 289.0)	(94.0, 162.0)	(95.0, 119.0)	(96.0, 72.5)	(97.0, 40.0)	(98.0, 26.0)	(99.0, 13.0)	(100.0, 6.0)
Control_1_r2	(0.0, 1085.0)	(1.0, 869.0)	(2.0, 564.0)	(3.0, 415.0)	(4.0, 330.0)	(5.0, 295.0)	(6.0, 290.5)	(7.0, 280.0)	(8.0, 305.0)	(9.0, 361.0)	(10.0, 358.5)	(11.0, 406.5)	(12.0, 445.0)	(13.0, 426.0)	(14.0, 464.5)	(15.0, 551.0)	(16.0, 662.5)	(17.0, 734.0)	(18.0, 899.5)	(19.0, 1138.5)	(20.0, 1334.0)	(21.0, 1745.0)	(22.0, 2353.0)	(23.0, 3004.5)	(24.0, 4037.0)	(25.0, 5397.5)	(26.0, 7049.5)	(27.0, 9452.5)	(28.0, 12866.0)	(29.0, 18200.5)	(30.0, 25091.5)	(31.0, 34275.5)	(32.0, 49209.0)	(33.0, 67813.0)	(34.0, 90913.5)	(35.0, 123919.5)	(36.0, 164176.0)	(37.0, 208969.5)	(38.0, 261532.0)	(39.0, 317392.5)	(40.0, 383399.0)	(41.0, 462675.5)	(42.0, 546028.0)	(43.0, 631689.0)	(44.0, 715037.5)	(45.0, 793191.0)	(46.0, 866858.0)	(47.0, 927058.5)	(48.0, 970983.5)	(49.0, 995477.0)	(50.0, 986734.5)	(51.0, 962820.0)	(52.0, 937245.5)	(53.0, 902313.5)	(54.0, 862139.0)	(55.0, 828289.0)	(56.0, 784050.0)	(57.0, 728218.0)	(58.0, 674796.0)	(59.0, 625321.0)	(60.0, 578195.5)	(61.0, 537667.5)	(62.0, 501948.5)	(63.0, 452049.5)	(64.0, 404426.0)	(65.0, 360778.5)	(66.0, 320016.5)	(67.0, 286246.5)	(68.0, 247836.5)	(69.0, 212141.5)	(70.0, 179236.5)	(71.0, 145160.5)	(72.0, 116434.5)	(73.0, 90763.0)	(74.0, 67774.5)	(75.0, 50493.0)	(76.0, 36936.0)	(77.0, 26797.5)	(78.0, 20002.0)	(79.0, 14354.0)	(80.0, 8969.5)	(81.0, 5714.5)	(82.0, 3773.5)	(83.0, 2241.5)	(84.0, 1608.0)	(85.0, 1292.0)	(86.0, 1447.5)	(87.0, 1522.5)	(88.0, 995.5)	(89.0, 707.0)	(90.0, 638.0)	(91.0, 603.5)	(92.0, 512.0)	(93.0, 371.0)	(94.0, 297.0)	(95.0, 261.0)	(96.0, 202.5)	(97.0, 148.0)	(98.0, 118.0)	(99.0, 102.5)	(100.0, 129.0)
Control_2_f1	(0.0, 1405.0)	(1.0, 1229.5)	(2.0, 885.5)	(3.0, 639.0)	(4.0, 470.5)	(5.0, 351.5)	(6.0, 297.0)	(7.0, 278.5)	(8.0, 259.5)	(9.0, 238.5)	(10.0, 257.5)	(11.0, 288.0)	(12.0, 279.0)	(13.0, 284.5)	(14.0, 341.5)	(15.0, 404.0)	(16.0, 511.5)	(17.0, 655.0)	(18.0, 852.5)	(19.0, 1045.5)	(20.0, 1326.0)	(21.0, 1758.0)	(22.0, 2260.5)	(23.0, 2953.0)	(24.0, 3763.5)	(25.0, 4809.5)	(26.0, 6082.0)	(27.0, 7836.5)	(28.0, 10744.5)	(29.0, 15118.5)	(30.0, 21698.0)	(31.0, 30684.0)	(32.0, 43340.5)	(33.0, 61319.0)	(34.0, 85982.0)	(35.0, 119498.5)	(36.0, 160189.0)	(37.0, 210187.5)	(38.0, 269947.0)	(39.0, 336022.0)	(40.0, 414653.5)	(41.0, 503054.5)	(42.0, 594590.5)	(43.0, 688917.5)	(44.0, 781902.0)	(45.0, 873277.5)	(46.0, 952829.0)	(47.0, 1006171.5)	(48.0, 1038016.0)	(49.0, 1049815.5)	(50.0, 1035942.0)	(51.0, 1004964.5)	(52.0, 965021.5)	(53.0, 915000.5)	(54.0, 858061.0)	(55.0, 804696.0)	(56.0, 751256.0)	(57.0, 696450.5)	(58.0, 642490.5)	(59.0, 589516.5)	(60.0, 543526.5)	(61.0, 508138.5)	(62.0, 475777.5)	(63.0, 434144.5)	(64.0, 388752.5)	(65.0, 345790.5)	(66.0, 309200.5)	(67.0, 271715.5)	(68.0, 229232.5)	(69.0, 194257.5)	(70.0, 164757.5)	(71.0, 131533.5)	(72.0, 103556.5)	(73.0, 80186.0)	(74.0, 59159.0)	(75.0, 44897.5)	(76.0, 33450.5)	(77.0, 25153.5)	(78.0, 18722.5)	(79.0, 13328.0)	(80.0, 9288.5)	(81.0, 6811.5)	(82.0, 4940.5)	(83.0, 3195.0)	(84.0, 2283.0)	(85.0, 1574.0)	(86.0, 1681.0)	(87.0, 1793.5)	(88.0, 1070.5)	(89.0, 663.5)	(90.0, 601.0)	(91.0, 594.0)	(92.0, 496.5)	(93.0, 288.0)	(94.0, 155.5)	(95.0, 120.0)	(96.0, 79.0)	(97.0, 55.0)	(98.0, 34.5)	(99.0, 18.0)	(100.0, 6.5)
Control_2_r2	(0.0, 4061.0)	(1.0, 3114.0)	(2.0, 1781.0)	(3.0, 1160.5)	(4.0, 798.5)	(5.0, 606.0)	(6.0, 501.0)	(7.0, 451.5)	(8.0, 463.0)	(9.0, 462.5)	(10.0, 440.5)	(11.0, 440.5)	(12.0, 416.0)	(13.0, 426.0)	(14.0, 498.5)	(15.0, 563.5)	(16.0, 680.0)	(17.0, 863.5)	(18.0, 1091.0)	(19.0, 1305.0)	(20.0, 1522.5)	(21.0, 1826.5)	(22.0, 2330.5)	(23.0, 3107.0)	(24.0, 4013.0)	(25.0, 4946.5)	(26.0, 6256.0)	(27.0, 8091.5)	(28.0, 10657.5)	(29.0, 15078.0)	(30.0, 21712.0)	(31.0, 30407.0)	(32.0, 43149.5)	(33.0, 61087.5)	(34.0, 85512.0)	(35.0, 118519.0)	(36.0, 159259.5)	(37.0, 209583.0)	(38.0, 268450.5)	(39.0, 334780.5)	(40.0, 413776.0)	(41.0, 501082.0)	(42.0, 592979.0)	(43.0, 688943.5)	(44.0, 782074.0)	(45.0, 873181.5)	(46.0, 954209.5)	(47.0, 1008447.0)	(48.0, 1039218.5)	(49.0, 1051876.5)	(50.0, 1037708.0)	(51.0, 1004201.5)	(52.0, 965430.0)	(53.0, 916162.5)	(54.0, 858541.0)	(55.0, 804433.0)	(56.0, 751159.5)	(57.0, 696005.0)	(58.0, 641463.0)	(59.0, 589116.0)	(60.0, 543072.0)	(61.0, 506793.5)	(62.0, 473910.0)	(63.0, 434270.0)	(64.0, 389325.0)	(65.0, 345999.5)	(66.0, 309650.0)	(67.0, 271509.0)	(68.0, 229453.0)	(69.0, 194603.5)	(70.0, 164273.0)	(71.0, 130691.0)	(72.0, 103105.0)	(73.0, 79818.0)	(74.0, 58753.0)	(75.0, 44606.0)	(76.0, 32811.5)	(77.0, 24758.5)	(78.0, 18412.5)	(79.0, 12951.0)	(80.0, 9114.0)	(81.0, 6890.5)	(82.0, 4947.5)	(83.0, 2949.5)	(84.0, 2038.5)	(85.0, 1478.5)	(86.0, 1701.0)	(87.0, 1844.0)	(88.0, 1133.0)	(89.0, 720.5)	(90.0, 677.0)	(91.0, 626.5)	(92.0, 503.5)	(93.0, 368.5)	(94.0, 286.0)	(95.0, 246.5)	(96.0, 189.5)	(97.0, 150.0)	(98.0, 118.0)	(99.0, 111.0)	(100.0, 129.5)
Control_3_f1	(0.0, 55.0)	(1.0, 68.0)	(2.0, 72.0)	(3.0, 64.0)	(4.0, 73.0)	(5.0, 79.0)	(6.0, 76.0)	(7.0, 71.5)	(8.0, 79.0)	(9.0, 99.0)	(10.0, 119.0)	(11.0, 155.5)	(12.0, 179.5)	(13.0, 195.0)	(14.0, 254.0)	(15.0, 311.0)	(16.0, 376.5)	(17.0, 459.5)	(18.0, 586.0)	(19.0, 718.5)	(20.0, 875.0)	(21.0, 1138.5)	(22.0, 1477.0)	(23.0, 1934.5)	(24.0, 2545.5)	(25.0, 3266.0)	(26.0, 4096.5)	(27.0, 5397.5)	(28.0, 7467.5)	(29.0, 10843.0)	(30.0, 15801.0)	(31.0, 22915.5)	(32.0, 33234.0)	(33.0, 47940.0)	(34.0, 68404.5)	(35.0, 96745.5)	(36.0, 131286.0)	(37.0, 173746.0)	(38.0, 224686.5)	(39.0, 283866.0)	(40.0, 356931.5)	(41.0, 439936.0)	(42.0, 530597.5)	(43.0, 626649.5)	(44.0, 724813.5)	(45.0, 824537.5)	(46.0, 914426.0)	(47.0, 982363.0)	(48.0, 1031062.0)	(49.0, 1064238.0)	(50.0, 1067446.5)	(51.0, 1050518.0)	(52.0, 1026427.0)	(53.0, 986059.0)	(54.0, 938649.5)	(55.0, 893516.0)	(56.0, 845870.5)	(57.0, 793120.5)	(58.0, 738546.5)	(59.0, 685943.5)	(60.0, 637921.5)	(61.0, 600239.0)	(62.0, 566835.5)	(63.0, 520064.0)	(64.0, 464930.0)	(65.0, 414643.5)	(66.0, 373641.0)	(67.0, 329047.0)	(68.0, 279235.0)	(69.0, 235310.5)	(70.0, 195327.0)	(71.0, 156528.0)	(72.0, 123493.0)	(73.0, 95083.5)	(74.0, 70173.5)	(75.0, 52791.0)	(76.0, 39248.0)	(77.0, 28857.5)	(78.0, 20887.0)	(79.0, 14561.0)	(80.0, 9963.0)	(81.0, 7261.0)	(82.0, 5165.0)	(83.0, 3474.0)	(84.0, 2543.5)	(85.0, 1801.5)	(86.0, 2036.0)	(87.0, 2156.5)	(88.0, 1268.5)	(89.0, 810.0)	(90.0, 773.0)	(91.0, 762.5)	(92.0, 629.5)	(93.0, 373.0)	(94.0, 183.5)	(95.0, 140.0)	(96.0, 92.0)	(97.0, 57.0)	(98.0, 29.5)	(99.0, 12.0)	(100.0, 7.0)
Control_3_r2	(0.0, 253.0)	(1.0, 205.5)	(2.0, 148.5)	(3.0, 143.0)	(4.0, 145.5)	(5.0, 156.0)	(6.0, 168.5)	(7.0, 183.5)	(8.0, 200.5)	(9.0, 216.0)	(10.0, 240.0)	(11.0, 271.5)	(12.0, 297.5)	(13.0, 303.0)	(14.0, 332.5)	(15.0, 400.0)	(16.0, 499.5)	(17.0, 593.0)	(18.0, 711.5)	(19.0, 884.0)	(20.0, 1101.5)	(21.0, 1340.5)	(22.0, 1583.5)	(23.0, 2000.0)	(24.0, 2632.0)	(25.0, 3357.0)	(26.0, 4328.0)	(27.0, 5727.0)	(28.0, 7843.0)	(29.0, 11180.5)	(30.0, 16256.0)	(31.0, 23467.0)	(32.0, 33880.0)	(33.0, 48570.5)	(34.0, 68555.5)	(35.0, 96932.5)	(36.0, 131935.0)	(37.0, 174482.5)	(38.0, 225202.0)	(39.0, 284661.5)	(40.0, 358413.0)	(41.0, 440619.5)	(42.0, 530270.5)	(43.0, 626252.5)	(44.0, 723705.0)	(45.0, 822128.5)	(46.0, 913624.5)	(47.0, 982001.0)	(48.0, 1029686.0)	(49.0, 1062766.0)	(50.0, 1066931.0)	(51.0, 1050275.0)	(52.0, 1023652.0)	(53.0, 985907.5)	(54.0, 939872.5)	(55.0, 893781.0)	(56.0, 846504.0)	(57.0, 793737.5)	(58.0, 738594.0)	(59.0, 684844.0)	(60.0, 637334.5)	(61.0, 599481.5)	(62.0, 565784.5)	(63.0, 519213.5)	(64.0, 464646.5)	(65.0, 414700.5)	(66.0, 372655.5)	(67.0, 327779.5)	(68.0, 279152.0)	(69.0, 235872.0)	(70.0, 195438.0)	(71.0, 156675.0)	(72.0, 123765.5)	(73.0, 95054.5)	(74.0, 70266.5)	(75.0, 52799.5)	(76.0, 39180.0)	(77.0, 29194.0)	(78.0, 21379.0)	(79.0, 14803.5)	(80.0, 9986.5)	(81.0, 7383.0)	(82.0, 5303.5)	(83.0, 3325.0)	(84.0, 2403.0)	(85.0, 1846.0)	(86.0, 2165.5)	(87.0, 2368.0)	(88.0, 1499.5)	(89.0, 952.5)	(90.0, 845.5)	(91.0, 816.5)	(92.0, 731.5)	(93.0, 538.0)	(94.0, 387.5)	(95.0, 311.5)	(96.0, 230.0)	(97.0, 165.0)	(98.0, 134.5)	(99.0, 126.5)	(100.0, 140.0)
Heat_treated_42_12h_1_f1	(0.0, 320.0)	(1.0, 327.5)	(2.0, 307.5)	(3.0, 288.5)	(4.0, 292.0)	(5.0, 298.5)	(6.0, 325.5)	(7.0, 344.5)	(8.0, 405.5)	(9.0, 521.0)	(10.0, 651.0)	(11.0, 781.5)	(12.0, 911.5)	(13.0, 1074.0)	(14.0, 1284.5)	(15.0, 1567.5)	(16.0, 1804.0)	(17.0, 2137.0)	(18.0, 2495.5)	(19.0, 2781.0)	(20.0, 3284.0)	(21.0, 4081.0)	(22.0, 5017.0)	(23.0, 5968.0)	(24.0, 7273.5)	(25.0, 9000.0)	(26.0, 11124.0)	(27.0, 14295.0)	(28.0, 18220.0)	(29.0, 23516.5)	(30.0, 30978.5)	(31.0, 40818.0)	(32.0, 55383.5)	(33.0, 75154.0)	(34.0, 101300.5)	(35.0, 133660.0)	(36.0, 169888.0)	(37.0, 217163.5)	(38.0, 272077.0)	(39.0, 327010.0)	(40.0, 394428.0)	(41.0, 475301.5)	(42.0, 557609.0)	(43.0, 639901.0)	(44.0, 719777.5)	(45.0, 793751.5)	(46.0, 863783.5)	(47.0, 925734.0)	(48.0, 972827.5)	(49.0, 998365.5)	(50.0, 987147.5)	(51.0, 962504.5)	(52.0, 938183.0)	(53.0, 895258.0)	(54.0, 848406.5)	(55.0, 806846.0)	(56.0, 762432.0)	(57.0, 710058.5)	(58.0, 659131.0)	(59.0, 622127.0)	(60.0, 584088.5)	(61.0, 548507.0)	(62.0, 524801.0)	(63.0, 493662.5)	(64.0, 451742.0)	(65.0, 404792.0)	(66.0, 365972.0)	(67.0, 335221.5)	(68.0, 288335.0)	(69.0, 239142.5)	(70.0, 204396.5)	(71.0, 167662.0)	(72.0, 134992.0)	(73.0, 108306.0)	(74.0, 81624.0)	(75.0, 62664.0)	(76.0, 50073.5)	(77.0, 38818.5)	(78.0, 28236.5)	(79.0, 19778.5)	(80.0, 12757.5)	(81.0, 8417.0)	(82.0, 6212.5)	(83.0, 4166.0)	(84.0, 2845.5)	(85.0, 2039.5)	(86.0, 1790.5)	(87.0, 1653.0)	(88.0, 1106.5)	(89.0, 702.0)	(90.0, 539.5)	(91.0, 444.5)	(92.0, 337.0)	(93.0, 225.0)	(94.0, 149.5)	(95.0, 123.5)	(96.0, 86.0)	(97.0, 57.5)	(98.0, 36.5)	(99.0, 19.5)	(100.0, 7.0)
Heat_treated_42_12h_1_r2	(0.0, 1581.0)	(1.0, 1243.5)	(2.0, 815.5)	(3.0, 649.0)	(4.0, 553.0)	(5.0, 521.0)	(6.0, 525.5)	(7.0, 572.0)	(8.0, 689.0)	(9.0, 814.0)	(10.0, 906.5)	(11.0, 1040.0)	(12.0, 1154.0)	(13.0, 1289.5)	(14.0, 1475.0)	(15.0, 1717.0)	(16.0, 1929.0)	(17.0, 2174.0)	(18.0, 2550.5)	(19.0, 2995.5)	(20.0, 3554.0)	(21.0, 4310.5)	(22.0, 5116.0)	(23.0, 6147.5)	(24.0, 7523.5)	(25.0, 9236.5)	(26.0, 11591.0)	(27.0, 14624.0)	(28.0, 18406.5)	(29.0, 23831.5)	(30.0, 31479.5)	(31.0, 41851.5)	(32.0, 56658.0)	(33.0, 75655.0)	(34.0, 101518.0)	(35.0, 134296.5)	(36.0, 170549.0)	(37.0, 217313.0)	(38.0, 272686.0)	(39.0, 328359.0)	(40.0, 395954.0)	(41.0, 476996.5)	(42.0, 557014.5)	(43.0, 639187.5)	(44.0, 720463.5)	(45.0, 795123.0)	(46.0, 866003.5)	(47.0, 928977.5)	(48.0, 975174.5)	(49.0, 999751.5)	(50.0, 987417.5)	(51.0, 960829.0)	(52.0, 937595.0)	(53.0, 895029.5)	(54.0, 848421.5)	(55.0, 806489.5)	(56.0, 760259.0)	(57.0, 707005.0)	(58.0, 655920.5)	(59.0, 618752.0)	(60.0, 581546.0)	(61.0, 546552.0)	(62.0, 522574.0)	(63.0, 492048.0)	(64.0, 451427.5)	(65.0, 405571.0)	(66.0, 366391.5)	(67.0, 334965.0)	(68.0, 288945.0)	(69.0, 238779.0)	(70.0, 202956.5)	(71.0, 167209.0)	(72.0, 134462.0)	(73.0, 107401.5)	(74.0, 81249.5)	(75.0, 62068.0)	(76.0, 49439.0)	(77.0, 39249.0)	(78.0, 28971.0)	(79.0, 19922.5)	(80.0, 12377.0)	(81.0, 8119.0)	(82.0, 5753.0)	(83.0, 3311.0)	(84.0, 2072.0)	(85.0, 1507.0)	(86.0, 1480.5)	(87.0, 1452.5)	(88.0, 960.0)	(89.0, 640.0)	(90.0, 535.5)	(91.0, 480.0)	(92.0, 378.5)	(93.0, 295.5)	(94.0, 255.0)	(95.0, 210.0)	(96.0, 182.5)	(97.0, 178.5)	(98.0, 181.0)	(99.0, 178.5)	(100.0, 207.0)
Heat_treated_42_12h_2_f1	(0.0, 229.0)	(1.0, 253.5)	(2.0, 270.0)	(3.0, 260.5)	(4.0, 268.5)	(5.0, 298.0)	(6.0, 328.0)	(7.0, 359.0)	(8.0, 460.0)	(9.0, 538.0)	(10.0, 594.5)	(11.0, 627.0)	(12.0, 641.0)	(13.0, 694.5)	(14.0, 791.5)	(15.0, 974.5)	(16.0, 1232.5)	(17.0, 1536.0)	(18.0, 1956.0)	(19.0, 2421.0)	(20.0, 2922.5)	(21.0, 3595.5)	(22.0, 4485.5)	(23.0, 5675.0)	(24.0, 7181.0)	(25.0, 9012.0)	(26.0, 11044.5)	(27.0, 13898.5)	(28.0, 17504.5)	(29.0, 22289.0)	(30.0, 28939.5)	(31.0, 38188.5)	(32.0, 51968.0)	(33.0, 70864.5)	(34.0, 96554.0)	(35.0, 123493.0)	(36.0, 152653.5)	(37.0, 195662.0)	(38.0, 247862.5)	(39.0, 294908.5)	(40.0, 352407.5)	(41.0, 429720.5)	(42.0, 502519.5)	(43.0, 575433.0)	(44.0, 642581.5)	(45.0, 698440.0)	(46.0, 758377.0)	(47.0, 817999.5)	(48.0, 873608.5)	(49.0, 904389.5)	(50.0, 896244.5)	(51.0, 887157.0)	(52.0, 888493.0)	(53.0, 864422.0)	(54.0, 824011.0)	(55.0, 791718.0)	(56.0, 757941.5)	(57.0, 721357.5)	(58.0, 679364.5)	(59.0, 645750.5)	(60.0, 620123.5)	(61.0, 596332.0)	(62.0, 582412.5)	(63.0, 556265.0)	(64.0, 512288.5)	(65.0, 456442.5)	(66.0, 402051.0)	(67.0, 362061.5)	(68.0, 305713.0)	(69.0, 246589.5)	(70.0, 208741.0)	(71.0, 169766.5)	(72.0, 137654.0)	(73.0, 111629.0)	(74.0, 87141.5)	(75.0, 70177.5)	(76.0, 57410.0)	(77.0, 46296.0)	(78.0, 37021.5)	(79.0, 29298.5)	(80.0, 21530.0)	(81.0, 16059.5)	(82.0, 13565.0)	(83.0, 10994.5)	(84.0, 8878.0)	(85.0, 7314.5)	(86.0, 6365.5)	(87.0, 5455.0)	(88.0, 4292.0)	(89.0, 3439.5)	(90.0, 2763.0)	(91.0, 2184.5)	(92.0, 1686.0)	(93.0, 1256.5)	(94.0, 898.5)	(95.0, 640.0)	(96.0, 476.0)	(97.0, 330.5)	(98.0, 220.0)	(99.0, 129.0)	(100.0, 63.5)
Heat_treated_42_12h_2_r2	(0.0, 1008.0)	(1.0, 800.0)	(2.0, 542.0)	(3.0, 465.5)	(4.0, 454.5)	(5.0, 455.0)	(6.0, 446.5)	(7.0, 465.5)	(8.0, 605.5)	(9.0, 705.5)	(10.0, 733.5)	(11.0, 764.5)	(12.0, 744.0)	(13.0, 809.0)	(14.0, 944.0)	(15.0, 1129.5)	(16.0, 1361.0)	(17.0, 1638.5)	(18.0, 1980.0)	(19.0, 2428.0)	(20.0, 2976.5)	(21.0, 3700.5)	(22.0, 4694.0)	(23.0, 5977.0)	(24.0, 7380.5)	(25.0, 8991.0)	(26.0, 11272.0)	(27.0, 14141.5)	(28.0, 17637.0)	(29.0, 22746.5)	(30.0, 29279.5)	(31.0, 38277.0)	(32.0, 52082.5)	(33.0, 71014.5)	(34.0, 96961.0)	(35.0, 124440.0)	(36.0, 153696.5)	(37.0, 196529.0)	(38.0, 248210.0)	(39.0, 294394.5)	(40.0, 351917.0)	(41.0, 430433.5)	(42.0, 503374.0)	(43.0, 575638.0)	(44.0, 643041.5)	(45.0, 700001.5)	(46.0, 760480.5)	(47.0, 821074.0)	(48.0, 877967.0)	(49.0, 905358.5)	(50.0, 894962.5)	(51.0, 887063.0)	(52.0, 889062.5)	(53.0, 865757.5)	(54.0, 825864.0)	(55.0, 792690.5)	(56.0, 756893.0)	(57.0, 719724.0)	(58.0, 677161.0)	(59.0, 643780.0)	(60.0, 621233.0)	(61.0, 596602.5)	(62.0, 578785.0)	(63.0, 551632.5)	(64.0, 509947.0)	(65.0, 456849.0)	(66.0, 401898.0)	(67.0, 360044.0)	(68.0, 305290.0)	(69.0, 247010.5)	(70.0, 206568.0)	(71.0, 168062.0)	(72.0, 137917.5)	(73.0, 112203.5)	(74.0, 87450.5)	(75.0, 69967.0)	(76.0, 57327.0)	(77.0, 47106.5)	(78.0, 37760.5)	(79.0, 29127.5)	(80.0, 21053.5)	(81.0, 15983.5)	(82.0, 13239.0)	(83.0, 9950.0)	(84.0, 7764.5)	(85.0, 6506.5)	(86.0, 5727.0)	(87.0, 5027.5)	(88.0, 3929.0)	(89.0, 3077.5)	(90.0, 2516.5)	(91.0, 1918.0)	(92.0, 1399.5)	(93.0, 999.5)	(94.0, 700.5)	(95.0, 487.0)	(96.0, 366.0)	(97.0, 282.5)	(98.0, 231.5)	(99.0, 226.5)	(100.0, 283.5)
