Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
Control_1_f1	(13.0, 7.0)	(14.0, 67.0)	(15.0, 263.0)	(16.0, 601.0)	(17.0, 1226.0)	(18.0, 2052.0)	(19.0, 2703.0)	(20.0, 4140.0)	(21.0, 6742.0)	(22.0, 10714.0)	(23.0, 16919.0)	(24.0, 25722.0)	(25.0, 39912.0)	(26.0, 60437.0)	(27.0, 90438.0)	(28.0, 130528.0)	(29.0, 180158.0)	(30.0, 237916.0)	(31.0, 310085.0)	(32.0, 405804.0)	(33.0, 558200.0)	(34.0, 900264.0)	(35.0, 1986276.0)	(36.0, 14444688.0)	(37.0, 2268521.0)		
Control_1_r2	(12.0, 52.0)	(13.0, 311.0)	(14.0, 603.0)	(15.0, 835.0)	(16.0, 1536.0)	(17.0, 2422.0)	(18.0, 3220.0)	(19.0, 3922.0)	(20.0, 5391.0)	(21.0, 8074.0)	(22.0, 13156.0)	(23.0, 21831.0)	(24.0, 33540.0)	(25.0, 50458.0)	(26.0, 68866.0)	(27.0, 92409.0)	(28.0, 121485.0)	(29.0, 161152.0)	(30.0, 213856.0)	(31.0, 296457.0)	(32.0, 441330.0)	(33.0, 718509.0)	(34.0, 1368863.0)	(35.0, 3812478.0)	(36.0, 13620095.0)	(37.0, 623532.0)	
Control_2_f1	(13.0, 4.0)	(14.0, 40.0)	(15.0, 212.0)	(16.0, 567.0)	(17.0, 1354.0)	(18.0, 2222.0)	(19.0, 3051.0)	(20.0, 4624.0)	(21.0, 7286.0)	(22.0, 11393.0)	(23.0, 17676.0)	(24.0, 27306.0)	(25.0, 42500.0)	(26.0, 65488.0)	(27.0, 97608.0)	(28.0, 138577.0)	(29.0, 189585.0)	(30.0, 246981.0)	(31.0, 318550.0)	(32.0, 410123.0)	(33.0, 560465.0)	(34.0, 890123.0)	(35.0, 1953777.0)	(36.0, 14608526.0)	(37.0, 2385410.0)		
Control_2_r2	(12.0, 41.0)	(13.0, 296.0)	(14.0, 583.0)	(15.0, 933.0)	(16.0, 1309.0)	(17.0, 1960.0)	(18.0, 2831.0)	(19.0, 3906.0)	(20.0, 5325.0)	(21.0, 8226.0)	(22.0, 13041.0)	(23.0, 20968.0)	(24.0, 30830.0)	(25.0, 43654.0)	(26.0, 58691.0)	(27.0, 78522.0)	(28.0, 103285.0)	(29.0, 136185.0)	(30.0, 181967.0)	(31.0, 255361.0)	(32.0, 382849.0)	(33.0, 623337.0)	(34.0, 1174603.0)	(35.0, 3195835.0)	(36.0, 14781794.0)	(37.0, 877116.0)	
Control_3_f1	(13.0, 1.0)	(14.0, 50.0)	(15.0, 262.0)	(16.0, 669.0)	(17.0, 1435.0)	(18.0, 2432.0)	(19.0, 3272.0)	(20.0, 4624.0)	(21.0, 7193.0)	(22.0, 11213.0)	(23.0, 17871.0)	(24.0, 27691.0)	(25.0, 43472.0)	(26.0, 66430.0)	(27.0, 99545.0)	(28.0, 142135.0)	(29.0, 195352.0)	(30.0, 257476.0)	(31.0, 334239.0)	(32.0, 433792.0)	(33.0, 595351.0)	(34.0, 950438.0)	(35.0, 2084437.0)	(36.0, 15222874.0)	(37.0, 2419483.0)		
Control_3_r2	(11.0, 1.0)	(12.0, 80.0)	(13.0, 434.0)	(14.0, 753.0)	(15.0, 1014.0)	(16.0, 1681.0)	(17.0, 2560.0)	(18.0, 3393.0)	(19.0, 4631.0)	(20.0, 6172.0)	(21.0, 9547.0)	(22.0, 16022.0)	(23.0, 26973.0)	(24.0, 40574.0)	(25.0, 56533.0)	(26.0, 75419.0)	(27.0, 100208.0)	(28.0, 131072.0)	(29.0, 173069.0)	(30.0, 229617.0)	(31.0, 322777.0)	(32.0, 482803.0)	(33.0, 787678.0)	(34.0, 1512616.0)	(35.0, 4293802.0)	(36.0, 14102009.0)	(37.0, 540299.0)
Heat_treated_42_12h_1_f1	(13.0, 5.0)	(14.0, 43.0)	(15.0, 250.0)	(16.0, 595.0)	(17.0, 1094.0)	(18.0, 1764.0)	(19.0, 2744.0)	(20.0, 4247.0)	(21.0, 6899.0)	(22.0, 10870.0)	(23.0, 17017.0)	(24.0, 26738.0)	(25.0, 41449.0)	(26.0, 63315.0)	(27.0, 94754.0)	(28.0, 136347.0)	(29.0, 189363.0)	(30.0, 247395.0)	(31.0, 321302.0)	(32.0, 419409.0)	(33.0, 578502.0)	(34.0, 929203.0)	(35.0, 2051070.0)	(36.0, 14815384.0)	(37.0, 2294316.0)		
Heat_treated_42_12h_1_r2	(11.0, 1.0)	(12.0, 67.0)	(13.0, 442.0)	(14.0, 860.0)	(15.0, 1144.0)	(16.0, 1652.0)	(17.0, 2201.0)	(18.0, 2978.0)	(19.0, 4113.0)	(20.0, 5844.0)	(21.0, 9251.0)	(22.0, 15306.0)	(23.0, 24938.0)	(24.0, 37718.0)	(25.0, 53368.0)	(26.0, 71323.0)	(27.0, 93968.0)	(28.0, 122711.0)	(29.0, 161204.0)	(30.0, 213254.0)	(31.0, 297155.0)	(32.0, 442671.0)	(33.0, 722350.0)	(34.0, 1373613.0)	(35.0, 3809929.0)	(36.0, 14161644.0)	(37.0, 624370.0)
Heat_treated_42_12h_2_f1	(13.0, 4.0)	(14.0, 58.0)	(15.0, 234.0)	(16.0, 512.0)	(17.0, 1024.0)	(18.0, 1757.0)	(19.0, 2760.0)	(20.0, 4325.0)	(21.0, 7082.0)	(22.0, 11724.0)	(23.0, 18523.0)	(24.0, 29096.0)	(25.0, 44810.0)	(26.0, 67642.0)	(27.0, 100082.0)	(28.0, 141363.0)	(29.0, 192069.0)	(30.0, 251520.0)	(31.0, 326102.0)	(32.0, 422987.0)	(33.0, 581899.0)	(34.0, 930530.0)	(35.0, 2021761.0)	(36.0, 14238621.0)	(37.0, 2232744.0)		
Heat_treated_42_12h_2_r2	(12.0, 93.0)	(13.0, 344.0)	(14.0, 754.0)	(15.0, 980.0)	(16.0, 1324.0)	(17.0, 1831.0)	(18.0, 2644.0)	(19.0, 3721.0)	(20.0, 5494.0)	(21.0, 8727.0)	(22.0, 14809.0)	(23.0, 24190.0)	(24.0, 35943.0)	(25.0, 50400.0)	(26.0, 67571.0)	(27.0, 89419.0)	(28.0, 117176.0)	(29.0, 154402.0)	(30.0, 204306.0)	(31.0, 285468.0)	(32.0, 425562.0)	(33.0, 693829.0)	(34.0, 1307013.0)	(35.0, 3552256.0)	(36.0, 13860494.0)	(37.0, 720479.0)	
