# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "2" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/flst8788/Genome-Analysis-1MB462/analysis/03_annotation/braker_chr3_ET/braker.gtf" "-o" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/featurecounts/counts.txt" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_1.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_2.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_3.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_1.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_2.sorted.bam" "/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_1.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_2.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Control_3.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_1.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_2.sorted.bam	/home/flst8788/Genome-Analysis-1MB462/analysis/04_rnaseq/hisat2_rna/Heat_treated_42_12h_3.sorted.bam
g1	contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon	2967;3392;3607;3898;4349;5263;5878;6398;7009;7404;8701;10229;10422;10655;15964	3152;3456;3679;4284;5148;5488;6323;6949;7273;8659;9423;10300;10610;10988;16014	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5625	0	0	0	7	0	0
g2	contig_101_pilon;contig_101_pilon	16949;17332	17167;18054	+;+	942	0	0	0	0	0	0
g3	contig_101_pilon	19186	19611	+	426	0	0	0	0	0	2
g4	contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon	19640;21009;21672;22125;25318;25807;30364	20353;21344;21878;23277;25759;25926;30646	+;+;+;+;+;+;+	3255	105	98	126	96	68	6
g5	contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon	30177;30672;30706;30935	30509;30834;31062;31062	-;-;-;-	724	0	0	0	0	0	0
g6	contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon	31179;31179;31414;31414;31986;31986;32343;32343;32459;32459;32808;32808;33005;33005;33377;33377;33639;33639;34515;34515;34688;34688;35141;35141;38289;38289;38826;38831;43374;43721	31225;31225;31559;31559;32202;32202;32417;32417;32686;32686;32957;32957;33255;33255;33442;33442;34366;34366;34607;34607;34894;34894;36293;36293;38778;38778;38940;38964;43635;43847	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4379	51	94	147	90	76	42
g7	contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon	43284;43746;44010;44394	43583;43908;44245;44474	-;-;-;-	780	0	0	0	0	0	0
g8	contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon;contig_101_pilon	44519;45016;45432;45548;45841;46096;46730;47779;48234;48755	44667;45291;45506;45775;45993;46346;47457;47985;48659;49399	+;+;+;+;+;+;+;+;+;+	3138	90	216	144	120	283	297
g9	contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon	1;485;536;743;743;1411;1592;1886;2075	140;607;607;1246;1202;1502;1699;1950;2168	+;+;+;+;+;+;+;+;+	1126	322	358	245	154	113	297
g10	contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon;contig_104_pilon	2393;2393;2766;2766;2931	2659;2659;2828;2843;2972	-;-;-;-;-	387	6	1	1	6	3	4
