#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_33	2923718	601	N	N	1	*	130,131,33,15,16,-15
contig_91	2296782	610	N	N	1	*	88,91
contig_47	1905859	570	N	N	1	*	*,47,-108,109,-108,109,-108,109
contig_21	1699407	592	N	N	1	*	21,88
contig_28	1265343	598	N	N	1	*	130,131,-77,130,28,71,-73,-71
contig_122	1082935	590	N	N	1	*	122
contig_2	1045800	592	N	N	1	*	93,94,-93,2
contig_72	619104	598	N	N	1	*	72,76
contig_3	498459	568	N	N	1	*	3,119,-6,119,-6,119
contig_7	402408	578	N	N	1	*	7,*
contig_127	387661	624	N	N	1	*	127
contig_8	382239	526	N	N	1	*	8
contig_121	350807	540	N	N	1	*	121
contig_60	304904	572	N	N	1	*	60,62
contig_54	255394	590	N	N	1	*	54
contig_105	175683	592	N	N	1	*	105
contig_4	115198	570	N	N	1	*	4
contig_30	104703	589	Y	N	1	*	30
contig_128	98679	628	N	N	1	*	-99,100,-133,-99,100,-133,-99,128
contig_132	89469	624	N	N	1	*	132
contig_123	86489	226	N	N	45	*	*,123,-27
contig_78	64776	192	N	N	1	*	*,78,*
contig_87	59207	294	N	N	1	*	87
contig_120	54331	393	N	N	1	*	120
contig_101	51503	314	N	N	1	*	101,133,-100,99,133,-100,99,133
contig_9	51136	365	N	N	3	*	9,22
contig_117	48283	448	N	Y	1	70	*,117,*
contig_1	38954	540	N	N	1	*	*,1,*
contig_111	38195	396	N	Y	1	64	*,111,*
contig_10	37190	464	N	Y	1	12	*,10,*
contig_20	35542	524	N	Y	1	16	*,20,*
contig_53	32459	192	N	N	1	*	53
contig_86	30131	184	N	N	1	*	86
contig_57	27129	392	N	N	2	*	57,-55,56,-56,55
contig_76	26993	496	N	Y	1	*	76
contig_98	26064	294	N	N	1	*	*,98,*
contig_37	25674	152	N	Y	1	28	*,37,*
contig_62	23422	536	N	Y	1	*	62
contig_63	21639	252	N	N	1	*	63,-68
contig_112	18298	275	N	Y	1	66	*,112,*
contig_129	18182	307	N	Y	1	42	*,129,*
contig_22	17820	480	N	Y	1	*	22
contig_46	17490	626	N	Y	1	36	*,46,*
contig_5	17392	473	N	N	2	*	*,5,*
contig_17	17153	585	N	N	2	*	*,17,*
contig_124	17035	200	N	N	200	*	*,124,*
contig_13	16817	398	N	Y	1	14	*,13,*
contig_31	13473	364	N	Y	1	22	*,31,*
contig_18	13087	343	N	N	1	*	*,18,*
contig_84	9984	194	N	Y	1	54	*,84,*
contig_125	8958	240	N	Y	1	26	*,125,*
contig_115	5986	189	N	Y	1	68	*,115,*
contig_118	3786	167	N	N	167	*	*,118,*
contig_92	3705	122	N	N	8	*	*,92,*
contig_104	3045	132	N	Y	1	60	*,104,*
contig_12	2527	224	N	N	1	*	12
contig_97	2390	120	N	N	120	*	*,97,*
contig_25	642	114	N	Y	1	20	*,25,*
